"nxtbrth1","nxtbrth2","rminor","cpermpg","stfloca","chngloca","blngloca","chatnb","ccnthum","ccrdprs","wrclmch","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","contplt","donprty","badge","sgnptit","pbldmna","bctprd","pstplonl","volunfp","clsprty","prtdgcla","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","lrnobed","loylead","imsmetn","imdfetn","impcntr","imacflp","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgblge","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","brncntr","livecnta","feethngr","facntr","mocntr","vteurmmb","vteubcmb","hhmmb","hhmmb15","gndr","mbrn","yrbrn","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","mbrn2","mbrn3","mbrn4","mbrn5","mbrn6","mbrn7","mbrn8","mbrn9","yrbrn2","yrbrn3","yrbrn4","yrbrn5","yrbrn6","yrbrn7","yrbrn8","yrbrn9","rshipa2","rshipa3","rshipa4","rshipa5","rshipa6","rshipa7","rshipa8","rshipa9","rshpsts","lvgptnea","dvrcdeva","marsts","chldhhe","domicil","eduyrs","pdwrk","edctn","uempla","uempli","dsbld","rtrd","cmsrv","hswrk","dngoth","dngref","dngdk","dngna","mainact","crpdwk","pdjobev","pdjobyr","emplrel","emplno","wrkctrb","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","wkhtot","tporgwk","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hincfilt","hinctnta","hincfel","pdwrkp","edctnp","uemplap","uemplip","dsbldp","rtrdp","cmsrvp","hswrkp","dngothp","dngdkp","dngnapp","dngrefp","dngnap","mnactp","crpdwkp","emprelp","wkhtotp","emprf14","occf14b","emprm14","occm14b","atncrse","optftr","fltdpr","slprl","wrhpp","fltlnl","enjlf","fltsd","cldgng","enrglot","fltanx","fltpcfl","lchshcp","dngval","hrmcnt","pplahlp","trtrsp","tnapsur","sedirlf","rehlppl","prhlppl","dgwtva","achgoal","flsfsec","clcnppl","clcnpla","dprfgd","acqcomp","kndhtm","hrmlife","dstpwir","hlpprct","ogendas","wbwlkpl","runtint","qfimedu","qfimlng","qfimchr","qfimwht","imtcjob","imbleco","imwbcrm","imdetbs","imdetmr","shrrfg","rfgawrk","gvrfgap","rfgdtcn","noimbro","gvtrimg","rlgueim","dfegcf","dfegcon","dfeghbg","etglint","etghwrk","cultbtr","prtnclt","aljewlv","almuslv","admim","alcewr","alceup","almmewr","almmeup","ipdopin","ipstst","ipplea","ipnpea","ipbesuc","ipetrju","ippoco","iphumb","ipprenv","ipnhum","ipnexp","iphppcl","ipwlth","ipprsaf","iptlppl","ipnvreg","ipmadec","ipftrad","ippconf","ipacrec","scresuq","scresrla","scastqc","scawhp","scasd","scappil","scaorel","scanrel","scafw","scanap","scana","sckaun","sckaacc","sckard","sckarhm","sckadec","sckareq","sckaoth","sckanap","sckana","recon","scmpqst","decnum","mode","idno","cntry","inwds","ainws","einwe"
1,6,2,9,2,4,1,2,2,0,2,8002,3,7545,3,2,77,1,9,5,8,1,4,0,6,99,88,3,3,8,8,9,8,7,7,8,8,9,8,9,9,3,1,7,77,4,3,5,8,9,1,7,9,8,7,2,1,1,88,2,77,6,4,2,1,9,2,4,9,7,5,9,9,10,1,7,7,0,1,1,1,0,0,1,0,1,0,0,0,1,1,9,2,6666,8,8,7,65,1,99,30,7,192,6171,9,8,7,9,1,2,9,2,77,66,99,99,88,99,88,66,7777,8888,9999,6666,7777,9999,6666,9999,5,5,2,77,88,99,88,66,4,1,9,88,2,9,33,1,0,1,1,0,0,1,1,1,0,0,1,9,9,9,8888,9,88888,1,3,7,66666,6,9,888,999,66,7,1,7,8,3,8,1,4,7,1,1,0,0,1,0,0,0,0,0,0,0,1,99,2,8,777,1,9,7,2,1,9,2,9,3,1,3,2,4,4,3,8,9,2,7,0,6,4,88,7,3,6,2,5,5,8,8,0,6,7,4,7,1,7,2,3,99,88,99,0,4,7,6,5,5,8,7,5,326,9,1,3,99,0,1,1,1,8,2,1,3,1,6,8,3,4,3,5,1,4,3,1,2,1,5,8,3,3,5,6,4,1,3,4,5,9,2,2,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,3,NA,NA,1,400268,"NL","09-02-2025 14:59:59","09-02-2025 14:59:59","09-02-2025 16:00:13"
2,1,9,6,4,8,5,6,55,6,8,7712,5,4210,5,5,5,1,5,2,2,2,9,77,1,7,99,9,1,9,2,8,2,1,9,2,2,8,2,3,2,1,6,5,0,8,99,3,9,2,1,1,1,4,3,1,4,4,77,7,9,1,6,4,4,2,4,8,1,5,99,2,8,77,2,2,8,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,6666,1,9,2,88,1,35,18,1,135,7815,2,7,9,9,6,1,6,6,99,77,66,88,88,99,66,77,7777,8888,8888,6666,6666,6666,8888,7777,1,3,4,2,5,3,66,77,1,9,9,66,6,5,85,0,0,0,1,0,0,1,0,1,0,0,0,6,1,7,7777,9,66666,7,1,7,66666,10,7,999,999,3,8,7,9,9,9,99,3,77,3,0,0,1,0,1,1,0,1,0,0,1,0,0,6,2,3,777,2,9,2,4,9,2,9,2,3,3,3,4,7,1,9,8,7,7,8,7,0,9,9,5,3,6,0,2,6,3,7,1,1,6,5,9,9,2,3,99,77,1,4,77,8,4,6,5,4,7,3,1,922,8,1,8,7,7,1,9,2,2,9,7,9,8,4,4,9,4,6,3,5,3,3,4,1,4,7,2,4,3,2,2,6,2,5,5,3,1,3,2,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,6,NA,NA,4,400269,"NL","15-02-2025 22:48:26","15-02-2025 22:48:26","16-02-2025 00:28:03"
9,2,9,2,7,2,7,2,4,0,6,5975,7,6934,3,99,7,4,2,5,7,2,3,2,7,5,9,0,99,8,2,8,1,7,1,7,9,2,1,4,10,5,99,4,3,3,8,4,5,4,3,3,1,1,9,9,1,2,9,1,88,3,4,3,4,2,8,8,7,6,10,7,9,77,77,3,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,9,9999,7,1,7,88,2,25,12,6,369,6946,6,6,2,1,6,6,2,9,88,77,88,88,88,88,88,77,6666,8888,8888,6666,7777,9999,6666,9999,4,6,88,6,6,88,1,77,88,1,1,4,1,3,46,0,0,1,0,0,1,1,0,0,0,0,1,4,8,7,7777,8,99999,8,7,1,77777,66,10,666,777,1,8,9,7,9,8,99,1,8,4,0,0,0,0,1,1,0,0,0,0,1,0,1,3,9,6,666,2,2,7,4,1,9,7,1,8,1,4,9,2,8,3,8,8,5,5,6,0,99,4,5,2,7,7,7,0,4,9,2,4,1,6,2,3,3,2,2,4,3,6,6,0,88,0,10,7,8,3,9,33,2,5,1,4,7,1,7,9,1,7,7,1,2,9,3,6,6,6,9,2,1,4,5,5,6,5,5,5,9,5,5,6,4,1,1,4,1,3,6,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,4,NA,NA,4,400270,"NL","08-02-2025 15:17:24","08-02-2025 15:17:24","08-02-2025 16:32:38"
2,9,1,3,7,8,1,5,3,3,9,8151,2,169,3,10,1,3,3,9,8,7,8,5,88,7,77,77,8,7,7,9,2,9,7,9,7,9,1,9,7,10,99,4,3,2,1,5,4,9,3,10,4,2,4,8,8,3,6,99,3,99,3,6,2,1,1,5,9,8,6,9,6,77,99,77,2,1,1,0,0,1,1,1,0,1,0,0,0,1,1,9,7,8888,7,2,7,88,33,25,52,7,51,7295,7,9,7,9,8,1,6,1,66,77,99,77,99,66,88,77,9999,8888,8888,7777,6666,8888,8888,9999,88,66,99,88,99,3,88,99,4,8,1,3,2,5,64,0,1,1,1,1,0,0,0,1,0,0,0,8,7,6,7777,9,66666,3,2,2,99999,88,10,666,777,1,9,2,1,2,9,2,2,7,3,1,0,1,0,1,1,1,1,0,0,1,0,1,6,1,9,666,1,5,2,8,1,9,7,1,4,3,9,7,1,3,4,1,5,3,5,1,1,2,8,2,2,6,5,8,0,7,8,9,5,9,1,1,7,7,7,10,9,3,77,6,8,6,4,3,4,9,3,3,959,7,99,2,4,77,4,7,9,8,2,9,3,7,4,1,6,1,4,5,4,2,3,4,7,2,4,1,4,6,6,2,4,1,1,1,3,6,4,2,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,4,NA,NA,9,400271,"NL","16-01-2025 03:54:02","16-01-2025 03:54:02","16-01-2025 05:53:37"
2,6,6,6,9,3,2,9,77,4,1,1506,8,7462,6,5,10,2,4,1,3,8,77,4,3,99,0,5,3,1,8,1,7,9,8,9,9,9,1,4,0,99,1,88,8,4,7,9,7,1,9,3,8,4,3,2,8,9,3,5,4,5,99,99,8,9,8,3,7,5,88,8,1,10,7,6,7,0,1,1,0,1,0,1,0,0,1,0,0,0,1,9,7,6666,9,2,8,55,2,85,9,8,292,7787,6,6,1,2,2,9,1,9,99,88,88,99,77,99,66,77,9999,8888,8888,6666,9999,7777,7777,9999,99,1,5,66,4,5,88,3,3,9,1,99,6,8,27,0,1,1,1,0,0,0,0,0,0,0,0,9,1,2,9999,2,77777,7,8,2,99999,10,4,888,999,77,2,7,9,6,8,8,3,5,3,0,1,0,0,0,1,1,1,0,0,1,0,0,6,9,8,666,9,88,7,66,1,9,4,4,8,3,3,4,8,9,9,1,2,8,7,8,7,1,1,3,8,7,1,8,9,9,7,7,7,2,9,9,3,1,4,4,10,77,8,3,6,99,8,1,1,9,3,3,930,1,8,3,5,1,8,9,1,8,2,1,9,4,1,3,8,5,5,1,6,6,2,2,3,3,1,2,5,5,4,5,2,7,8,7,3,6,2,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,NA,NA,1,400272,"GB","26-01-2025 20:23:38","26-01-2025 20:23:38","26-01-2025 22:50:21"
6,9,6,2,9,1,1,4,77,8,3,5810,2,8239,3,2,10,3,9,8,3,2,3,2,88,99,10,3,6,1,9,7,9,2,8,9,1,8,7,2,2,7,2,3,0,9,8,7,1,9,5,5,2,5,3,4,8,1,4,3,5,7,77,99,7,9,8,3,7,7,8,9,9,3,3,7,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,2,9,9999,9,7,9,55,1,77,19,6,263,7057,1,6,7,6,8,9,8,6,88,99,66,77,77,66,77,99,8888,6666,7777,7777,8888,9999,8888,9999,88,3,77,77,3,2,2,2,4,7,2,3,2,9,42,1,1,0,0,1,0,0,0,1,0,0,0,2,9,2,7777,2,66666,7,4,6,99999,2,88,555,999,77,9,8,9,9,7,88,1,5,9,1,0,1,1,0,1,1,1,0,0,0,0,1,9,7,6,888,1,4,3,99,8,9,7,2,7,4,1,2,1,4,7,1,7,9,3,7,9,6,4,2,4,2,2,8,4,9,9,2,6,2,8,8,3,5,4,0,1,7,10,2,6,99,5,3,9,1,5,2,184,2,9,9,7,3,8,8,3,9,2,4,3,4,6,3,6,6,4,1,4,4,1,6,2,6,6,2,4,6,1,1,5,1,5,2,5,9,9,6,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,2,NA,NA,4,400273,"NL","02-02-2025 11:49:04","02-02-2025 11:49:04","02-02-2025 14:05:31"
9,2,6,1,4,7,8,8,88,1,3,1739,2,7798,7,2,2,9,9,4,9,2,4,2,2,3,3,10,0,2,2,1,7,2,9,1,9,9,8,2,9,5,88,88,77,99,3,8,5,8,8,6,3,3,2,8,8,7,2,99,8,3,88,2,8,1,9,3,9,4,99,1,2,88,4,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,8,7,6666,9,2,8,2,2,77,50,6,219,2938,2,1,6,6,8,1,2,8,88,99,66,99,66,88,66,99,7777,6666,8888,7777,9999,9999,8888,9999,4,77,66,66,4,2,1,4,4,6,2,66,6,3,87,0,0,0,0,1,1,1,0,1,0,0,0,88,6,1,8888,6,66666,9,3,2,88888,7,7,777,888,77,2,1,2,8,3,7,1,1,3,1,1,0,1,1,1,0,0,1,0,0,0,0,6,9,8,666,3,5,9,1,9,9,2,2,8,2,1,1,7,8,1,1,8,5,0,5,5,6,7,0,9,5,7,0,8,5,8,3,8,4,4,4,3,5,3,1,2,6,88,2,10,77,6,9,4,9,4,9,167,5,5,1,7,3,9,9,4,7,1,8,2,7,7,3,2,5,1,2,6,3,1,2,9,1,4,2,6,7,3,3,6,3,3,4,2,3,2,9,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,NA,NA,9,400274,"GB","19-02-2025 00:52:53","19-02-2025 00:52:53","19-02-2025 02:04:25"
9,9,2,7,5,8,1,6,2,66,9,2655,8,6174,99,5,0,2,4,7,3,1,0,10,8,10,77,10,9,2,2,9,7,2,8,8,1,7,2,4,88,7,7,8,6,1,1,8,7,7,3,99,1,7,1,8,2,8,4,5,99,10,88,88,7,7,2,4,9,88,9,9,9,7,6,99,7,1,1,0,1,0,1,1,0,1,1,0,0,1,1,9,8,9999,7,7,7,77,65,70,34,6,185,4030,9,8,8,9,8,8,6,1,99,88,88,88,88,99,77,99,8888,9999,6666,7777,7777,8888,7777,8888,3,77,5,88,1,88,2,77,6,1,2,2,1,8,99,0,0,1,0,1,1,1,0,1,0,0,1,1,1,6,8888,7,77777,2,7,6,99999,4,10,888,888,2,7,2,2,1,9,1,3,1,7,0,1,0,0,1,1,0,1,1,0,1,0,0,77,9,6,888,8,1,3,3,8,9,9,3,7,1,1,8,1,9,2,2,2,8,6,0,7,5,5,0,8,1,1,2,0,4,7,8,9,1,8,4,9,4,7,8,4,3,4,5,6,6,1,10,2,3,3,2,904,1,4,8,3,66,2,3,2,3,7,4,2,6,8,2,6,4,1,4,5,3,7,5,5,4,3,4,5,5,5,8,5,4,5,9,6,6,4,6,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,5,NA,NA,2,400275,"NL","20-02-2025 17:09:38","20-02-2025 17:09:38","20-02-2025 18:06:40"
6,2,9,7,7,2,8,3,77,5,3,3961,5,7333,7,2,2,7,4,1,9,4,0,4,88,8,99,8,8,7,9,1,2,9,8,2,2,8,2,4,10,88,4,99,88,2,4,2,8,5,4,7,3,2,8,7,8,9,6,9,6,9,99,1,5,8,3,5,3,8,99,7,9,8,2,4,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,7,7777,9,9,7,33,33,61,31,6,391,6449,1,8,9,6,8,7,6,8,66,99,66,66,77,99,66,99,6666,9999,6666,6666,6666,6666,8888,9999,99,88,1,5,3,5,3,1,2,2,1,99,9,1,24,0,0,1,1,0,0,1,1,1,0,0,0,8,1,6,8888,2,99999,3,6,6,99999,10,99,999,777,5,2,7,2,9,3,1,9,77,1,1,0,1,1,0,0,0,1,0,0,0,0,0,88,2,7,888,2,6,9,66,2,9,1,3,7,3,9,7,9,8,7,7,8,4,4,1,2,7,2,3,4,2,5,5,7,4,2,3,2,8,8,2,2,5,2,99,8,77,5,10,77,4,6,3,1,2,3,3,979,9,2,2,7,9,7,3,7,9,7,4,4,9,4,9,7,1,6,1,3,1,5,2,5,9,4,5,7,5,4,6,4,6,1,6,6,1,5,2,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,9,NA,NA,9,400276,"NL","04-02-2025 22:20:53","04-02-2025 22:20:53","04-02-2025 23:49:22"
9,1,1,9,3,1,2,3,2,88,1,5842,8,2601,88,2,2,2,2,2,7,7,2,4,6,0,9,77,3,1,2,2,2,2,9,2,1,1,9,6,4,5,4,7,9,88,3,9,1,5,2,0,9,2,1,1,4,2,0,7,4,10,3,99,4,2,9,7,2,88,5,2,6,10,2,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,7,7777,9,1,8,1,77,33,62,9,428,8196,2,2,2,7,6,2,8,7,99,77,77,88,77,77,77,66,6666,6666,9999,9999,6666,9999,6666,7777,6,88,6,99,99,1,4,1,66,2,8,88,7,1,2,0,0,0,1,0,1,1,0,1,0,0,1,1,1,7,6666,3,99999,3,3,9,77777,66,7,888,666,1,8,7,2,6,7,5,2,6,2,0,0,0,0,1,1,1,1,1,0,0,0,1,1,7,2,777,1,2,1,9,2,9,4,2,4,1,4,4,4,4,3,2,8,5,0,8,8,2,0,9,6,7,8,8,5,7,3,6,5,3,9,9,7,9,7,2,1,7,88,6,77,77,3,7,8,2,3,9,394,2,8,8,6,3,4,3,7,9,7,1,4,7,4,7,7,4,2,5,1,5,4,2,3,5,7,1,1,3,4,1,6,3,1,6,1,9,3,2,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,5,NA,NA,4,400277,"GB","12-02-2025 07:22:05","12-02-2025 07:22:05","12-02-2025 08:01:35"
1,1,9,5,2,3,4,8,55,99,4,4846,9,1841,88,0,3,2,1,9,4,1,1,77,88,77,3,6,77,7,9,2,7,1,7,2,9,8,8,2,1,88,2,6,9,2,99,4,9,3,4,10,1,3,1,1,9,9,1,10,99,8,99,77,9,2,8,4,2,3,10,8,6,6,3,5,9,1,0,1,0,0,0,1,0,1,1,0,0,0,0,7,7,8888,7,7,1,44,44,20,77,9,400,6895,7,8,1,9,7,6,7,2,77,66,88,88,99,77,77,88,7777,8888,8888,7777,7777,6666,9999,9999,2,66,88,1,4,2,2,5,1,2,1,5,1,9,19,1,0,1,1,0,0,0,0,1,0,0,0,4,6,9,8888,7,88888,9,7,6,88888,99,66,666,888,88,7,8,8,8,8,4,9,9,4,0,1,1,1,1,1,0,0,0,0,1,0,1,7,6,9,999,3,99,9,6,7,9,8,9,8,1,7,9,2,9,7,3,1,9,9,7,2,2,2,0,4,9,7,3,5,8,1,4,3,4,4,9,9,9,7,0,6,4,5,1,10,2,9,8,9,4,2,9,344,8,8,3,4,6,4,3,8,2,9,9,3,2,6,1,7,7,5,1,3,2,7,3,4,6,1,5,3,4,4,4,6,4,7,5,6,2,5,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,2,NA,NA,3,400278,"NL","09-02-2025 22:09:06","09-02-2025 22:09:06","10-02-2025 00:44:56"
6,6,2,5,3,3,6,9,2,10,6,3764,4,4467,3,7,9,9,7,2,1,7,3,0,4,88,0,8,7,1,7,2,8,7,1,1,2,1,9,2,9,6,7,88,2,0,9,8,4,1,8,77,2,2,9,8,2,3,77,8,5,0,5,4,4,9,2,2,2,77,4,1,2,2,7,3,7,0,0,1,0,1,1,1,0,1,1,0,0,1,0,8,9,6666,1,8,1,55,2,96,74,8,430,9955,2,1,9,1,7,2,6,8,66,66,66,99,77,88,77,99,9999,8888,7777,7777,7777,6666,9999,9999,66,4,3,99,77,3,88,77,2,2,1,77,9,9,11,0,0,0,0,1,0,0,1,0,0,0,0,1,9,8,7777,9,88888,8,5,1,88888,8,3,777,777,4,8,8,1,6,1,77,3,10,4,0,1,0,1,1,0,1,1,0,0,1,0,1,99,9,6,888,9,3,7,3,1,9,2,1,8,4,8,2,4,9,9,3,9,9,4,4,6,88,6,7,9,8,1,4,1,6,1,7,0,8,5,8,3,4,4,0,9,1,6,5,6,3,88,3,2,1,7,7,154,4,7,1,4,77,4,2,8,9,4,8,1,6,4,2,7,2,6,8,4,4,3,3,4,9,2,5,3,1,5,5,9,3,5,3,1,3,9,6,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,4,NA,NA,2,400279,"NL","31-01-2025 03:01:31","31-01-2025 03:01:31","31-01-2025 03:28:05"
6,6,6,5,5,2,8,8,1,2,8,6044,3,4851,7,8,8,4,7,8,4,2,10,99,7,9,99,2,88,3,8,7,8,9,9,1,2,1,8,6,7,6,2,10,88,7,9,2,3,3,3,88,9,2,7,8,7,4,10,10,4,2,2,4,9,2,2,3,1,7,9,8,6,3,77,2,8,1,1,0,0,1,1,0,0,0,1,0,0,0,1,9,2,8888,9,8,2,1,44,22,59,4,400,6494,2,1,8,9,7,9,2,6,66,99,77,88,77,99,88,77,7777,6666,8888,9999,8888,8888,7777,8888,99,3,3,6,99,77,99,99,77,2,2,3,1,9,32,0,1,0,0,1,0,0,1,1,0,0,1,66,2,2,6666,8,77777,3,9,8,77777,9,5,888,999,77,6,9,7,1,9,5,2,10,4,1,0,1,1,1,1,0,0,0,0,1,0,1,2,7,3,666,3,2,8,3,2,9,2,9,7,2,4,7,4,2,3,9,4,7,1,3,0,9,99,7,8,0,6,9,7,9,5,9,9,9,7,9,1,1,4,3,99,7,10,6,7,7,4,77,1,4,3,4,375,9,10,1,88,5,3,4,8,7,4,8,3,6,2,2,6,1,3,3,1,3,1,6,6,9,8,5,6,5,1,4,6,1,4,1,5,9,2,6,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,8,NA,345,9,400280,"GB","27-01-2025 16:33:03","27-01-2025 16:33:03","27-01-2025 19:04:36"
9,1,6,8,8,3,6,4,88,77,1,4103,3,1057,10,99,3,4,7,4,4,1,10,88,77,10,2,9,88,2,9,2,7,9,9,7,8,7,7,1,1,0,9,6,77,5,4,2,5,3,1,1,4,3,9,4,4,4,2,6,7,9,7,77,1,9,3,3,3,8,1,7,8,4,77,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,9,6666,1,9,2,65,2,33,9,7,267,5317,1,2,6,9,8,1,8,8,99,99,88,77,88,66,66,99,8888,7777,9999,6666,9999,9999,8888,8888,2,77,66,99,3,99,1,99,2,9,8,2,7,1,30,0,0,1,0,1,0,1,1,0,0,0,0,99,6,8,7777,9,99999,7,2,9,77777,0,0,888,666,3,6,9,8,2,9,77,2,10,3,1,1,0,0,0,1,0,0,1,0,1,0,0,9,2,9,777,3,3,4,5,7,9,8,8,4,4,3,2,2,8,2,7,9,9,0,3,9,5,5,8,7,2,7,6,1,6,5,3,8,6,2,4,8,4,1,77,88,10,3,4,7,9,1,8,3,8,4,4,528,7,77,8,5,2,7,3,8,9,3,4,1,9,3,3,4,5,4,6,2,1,4,3,5,4,1,4,2,4,1,4,9,4,1,3,6,2,4,2,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,8,NA,NA,3,400281,"GB","05-02-2025 05:23:09","05-02-2025 05:23:09","05-02-2025 08:11:26"
9,9,1,6,5,1,8,3,99,5,7,3696,7,2065,5,0,4,1,8,8,2,8,1,7,77,77,3,3,0,7,7,2,8,2,8,8,1,9,7,8,0,7,9,7,99,0,5,4,5,4,7,6,8,2,1,2,9,1,88,99,99,8,1,77,9,7,2,7,9,5,99,8,6,99,88,88,2,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,9,7777,1,1,8,99,2,68,17,4,14,5136,2,9,8,6,6,1,1,7,99,66,88,88,99,88,99,66,8888,9999,9999,9999,7777,7777,8888,8888,77,1,77,77,4,3,77,2,66,2,7,66,9,3,82,0,0,1,0,1,1,0,0,1,0,0,1,66,6,7,9999,8,77777,9,4,6,88888,5,88,777,777,6,1,1,7,8,7,6,1,6,3,1,0,0,1,1,0,0,1,1,0,0,0,0,99,8,1,666,3,99,7,1,9,9,9,7,3,3,3,7,2,4,2,8,4,3,1,9,6,77,7,0,2,6,7,8,4,6,2,8,4,5,9,2,7,2,3,88,1,77,99,1,77,10,8,6,7,8,4,7,730,7,99,8,4,2,7,3,8,1,1,3,4,6,9,9,4,1,5,1,7,6,1,1,4,4,5,1,4,8,2,1,4,3,5,4,6,6,9,6,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,6,NA,NA,3,400282,"GB","12-02-2025 03:36:10","12-02-2025 03:36:10","12-02-2025 05:07:13"
6,2,6,1,8,1,6,1,55,7,5,7220,3,3705,1,2,3,9,1,3,1,9,5,88,1,3,8,99,8,8,1,8,1,1,9,2,9,2,1,3,7,7,99,77,1,3,5,4,5,4,2,99,4,5,1,3,4,1,1,2,88,1,88,88,3,9,1,1,2,3,4,7,2,99,4,6,9,1,0,1,1,0,0,1,0,1,0,0,0,0,0,8,7,8888,9,8,9,1,88,24,86,5,406,4258,6,8,6,9,6,7,2,9,88,88,99,66,99,66,88,88,7777,7777,8888,8888,9999,9999,8888,6666,2,77,88,4,1,99,4,88,88,9,1,66,1,9,66,0,1,1,0,1,1,1,0,0,0,0,0,9,9,8,7777,2,99999,7,1,6,66666,8,10,888,999,5,7,9,7,9,2,3,1,2,2,0,1,1,0,1,1,0,1,1,0,1,0,1,5,6,2,999,3,88,1,7,7,9,8,1,7,4,4,8,7,7,9,7,3,9,3,8,3,99,2,3,5,4,4,5,2,7,7,2,0,1,9,3,7,1,9,0,0,7,6,2,3,88,6,77,2,8,9,2,256,3,3,9,99,7,8,9,8,2,7,7,9,2,7,1,3,5,1,2,5,3,9,2,3,2,5,5,3,6,4,3,3,6,2,1,5,3,6,9,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,5,NA,NA,9,400283,"GB","16-01-2025 00:52:14","16-01-2025 00:52:14","16-01-2025 01:54:40"
1,1,6,4,4,7,2,2,3,88,2,1451,1,3037,10,6,1,8,4,1,4,2,88,0,99,1,2,2,4,8,7,7,9,8,9,1,9,7,9,3,77,5,77,5,1,3,0,7,9,2,8,6,1,2,9,3,2,9,8,1,4,4,5,77,9,7,2,8,8,1,9,1,6,4,7,1,8,1,1,1,1,1,1,1,0,0,0,0,0,0,0,7,9,6666,9,8,2,1,88,66,23,3,420,9787,9,6,7,6,8,6,2,7,88,66,66,88,66,77,77,66,9999,6666,7777,7777,9999,9999,9999,8888,2,99,99,66,6,2,1,6,66,1,2,5,1,5,63,0,1,0,0,0,1,0,1,1,0,0,0,2,7,8,7777,1,77777,3,9,1,77777,10,1,777,888,3,9,7,6,8,1,4,1,99,3,0,1,1,0,0,1,1,1,1,0,0,0,0,9,1,2,777,9,2,9,88,7,4,9,3,4,9,1,7,8,8,8,7,3,1,7,7,3,10,88,3,0,6,6,4,0,1,1,6,0,4,6,9,1,1,2,2,1,10,8,3,9,9,9,99,2,2,4,8,275,1,9,8,1,3,3,8,2,8,7,1,1,6,7,4,9,1,3,1,1,4,6,6,8,2,4,6,1,3,4,4,1,3,3,3,3,6,5,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,6,NA,NA,4,400284,"GB","20-02-2025 17:54:56","20-02-2025 17:54:56","20-02-2025 20:50:06"
